"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"8151890"	"0.006919"	"4.50e-06"	"-12.636541"	"4.76776"	"-1.3998334"	"TP53INP1"	"tumor protein p53 inducible nuclear protein 1"
"8168794"	"0.006958"	"4.74e-06"	"-12.539002"	"4.72498"	"-0.9189477"	"CENPI"	"centromere protein I"
"8132318"	"0.007045"	"5.05e-06"	"-12.420429"	"4.67233"	"-0.8881965"	"ANLN"	"anillin actin binding protein"
"7899562"	"0.007045"	"5.39e-06"	"-12.302004"	"4.61901"	"-1.2466461"	"PTPRU"	"protein tyrosine phosphatase, receptor type U"
"8008754"	"0.007045"	"5.71e-06"	"-12.194369"	"4.56991"	"-0.9717229"	"RAD51C"	"RAD51 paralog C"
"8018754"	"0.007045"	"5.82e-06"	"-12.16087"	"4.55451"	"-1.403905"	"CYGB"	"cytoglobin"
"7941214"	"0.007045"	"5.88e-06"	"-12.1406"	"4.54516"	"-1.1486214"	"POLA2"	"D0 polymerase alpha 2, accessory subunit"
"8174351"	"0.007276"	"6.60e-06"	"-11.933683"	"4.44842"	"-0.8415303"	"NUP62CL"	"nucleoporin 62 C-terminal like"
"8173506"	"0.007276"	"6.62e-06"	"-11.929919"	"4.44664"	"-0.9538201"	"ERCC6L"	"ERCC excision repair 6 like, spindle assembly checkpoint helicase"
"7937749"	"0.007276"	"6.81e-06"	"-11.878413"	"4.42218"	"-0.9608501"	"TNNT3"	"troponin T3, fast skeletal type"
"8097335"	"0.007276"	"6.98e-06"	"-11.83595"	"4.4019"	"-0.9483051"	"HSPA4L"	"heat shock protein family A (Hsp70) member 4 like"
"7986350"	"0.007764"	"7.69e-06"	"-11.666484"	"4.31997"	"-1.0768124"	"ARRDC4"	"arrestin domain containing 4"
"7977397"	"0.007794"	"7.96e-06"	"-11.606178"	"4.29041"	"-0.8031282"	"CRIP2"	"cysteine rich protein 2"
"8152133"	"0.008801"	"9.75e-06"	"-11.258433"	"4.11579"	"-0.862435"	"RRM2B"	"ribonucleotide reductase regulatory TP53 inducible subunit M2B"
"8043657"	"0.008801"	"9.77e-06"	"-11.254825"	"4.11394"	"-0.8698064"	"CNNM4"	"cyclin and CBS domain divalent metal cation transport mediator 4"
"8035318"	"0.008801"	"9.87e-06"	"-11.238114"	"4.10536"	"-0.7703923"	"UNC13A"	"unc-13 homolog A"
"8006187"	"0.008801"	"1.01e-05"	"-11.20361"	"4.08759"	"-1.0341126"	"ATAD5"	"ATPase family, AAA domain containing 5"
"8153819"	"0.009131"	"1.11e-05"	"-11.04616"	"4.00557"	"-0.8165902"	"CYHR1"	"cysteine and histidine rich 1"
"8066822"	"0.009131"	"1.13e-05"	"-11.008869"	"3.98591"	"-1.607211"	"SULF2"	"sulfatase 2"
"7992594"	"0.009131"	"1.14e-05"	"-11.000705"	"3.9816"	"-0.751469"	"CCNF"	"cyclin F"
"7964347"	"0.009131"	"1.16e-05"	"-10.971487"	"3.96612"	"-1.0148973"	"NEMP1"	"nuclear envelope integral membrane protein 1"
"8018236"	"0.009165"	"1.19e-05"	"-10.925707"	"3.94176"	"-1.2415585"	"FDXR"	"ferredoxin reductase"
"7958019"	"0.009196"	"1.22e-05"	"-10.881718"	"3.91823"	"-0.9389191"	"DRAM1"	"D0 damage regulated autophagy modulator 1"
"7910997"	"0.009339"	"1.27e-05"	"-10.819022"	"3.88447"	"-1.0802905"	"EXO1"	"exonuclease 1"
"7997839"	"0.009819"	"1.37e-05"	"-10.701449"	"3.82046"	"-0.848111"	"CDT1"	"chromatin licensing and D0 replication factor 1"
"8117594"	"0.009949"	"1.43e-05"	"10.625093"	"3.7784"	"1.3513099"	"HIST1H2BM"	"histone cluster 1, H2bm"
"8069178"	"0.009949"	"1.45e-05"	"-10.610535"	"3.77034"	"-0.7724598"	"ADARB1"	"adenosine deaminase, R0 specific B1"
"8034772"	"0.010094"	"1.51e-05"	"-10.547428"	"3.73521"	"-1.1059379"	"ASF1B"	"anti-silencing function 1B histone chaperone"
"7938035"	"0.010094"	"1.56e-05"	"-10.492648"	"3.7045"	"-1.1571477"	"TRIM22"	"tripartite motif containing 22"
"8018849"	"0.010094"	"1.60e-05"	"-10.446055"	"3.67822"	"-1.2396856"	"TK1"	"thymidine kinase 1"
"8035465"	"0.010094"	"1.61e-05"	"-10.436931"	"3.67306"	"-0.889942"	"ISY01"	"inositol-3-phosphate synthase 1"
"7893315"	"0.010094"	"1.62e-05"	"-10.427111"	"3.66749"	"-0.9580787"	""	""
"7921033"	"0.010336"	"1.79e-05"	"-10.278547"	"3.58249"	"-0.8673161"	"IQGAP3"	"IQ motif containing GTPase activating protein 3"
"8174313"	"0.010336"	"1.81e-05"	"-10.26188"	"3.57285"	"-1.0727768"	"MORC4///MORC4"	"MORC family CW-type zinc finger 4///MORC family CW-type zinc finger 4"
"7921773"	"0.010336"	"1.81e-05"	"-10.261532"	"3.57265"	"-1.0512554"	"NECTIN4"	"nectin cell adhesion molecule 4"
"8079896"	"0.010336"	"1.81e-05"	"-10.260232"	"3.5719"	"-0.9485147"	"SEMA3F"	"semaphorin 3F"
"7958425"	"0.010336"	"1.85e-05"	"-10.227643"	"3.553"	"-1.5122865"	"DAO"	"D-amino acid oxidase"
"8015769"	"0.010336"	"1.89e-05"	"-10.191151"	"3.53175"	"-1.184523"	"BRCA1"	"BRCA1, D0 repair associated"
"7991234"	"0.010336"	"1.92e-05"	"-10.164867"	"3.51638"	"-0.845482"	"MFGE8"	"milk fat globule-EGF factor 8 protein"
"7961983"	"0.010336"	"1.95e-05"	"-10.142849"	"3.50347"	"-0.858877"	"TM7SF3"	"transmembrane 7 superfamily member 3"
"8145570"	"0.010336"	"2.00e-05"	"-10.102213"	"3.47954"	"-1.0370976"	"ESCO2"	"establishment of sister chromatid cohesion N-acetyltransferase 2"
"8138613"	"0.010336"	"2.01e-05"	"-10.09923"	"3.47778"	"-0.6773679"	"OSBPL3"	"oxysterol binding protein like 3"
"7960340"	"0.010336"	"2.03e-05"	"-10.079544"	"3.46615"	"-0.7469675"	"FOXM1"	"forkhead box M1"
"8098423"	"0.010336"	"2.05e-05"	"-10.06852"	"3.45962"	"-0.9206931"	"NEIL3"	"nei like D0 glycosylase 3"
"8164293"	"0.01041"	"2.13e-05"	"-10.00563"	"3.4222"	"-0.7560781"	"AK1"	"adenylate kinase 1"
"8160670"	"0.01041"	"2.15e-05"	"-9.996773"	"3.41691"	"-1.0297964"	"AQP3"	"aquaporin 3 (Gill blood group)"
"8162652"	"0.01041"	"2.16e-05"	"-9.988045"	"3.41168"	"-0.9500252"	"CTSV"	"cathepsin V"
"8147661"	"0.01055"	"2.22e-05"	"-9.94539"	"3.38608"	"-0.8136778"	"SPAG1"	"sperm associated antigen 1"
"7923426"	"0.010883"	"2.32e-05"	"-9.876613"	"3.34451"	"-0.7639036"	"UBE2T"	"ubiquitin conjugating enzyme E2 T"
"7892867"	"0.010903"	"2.36e-05"	"-9.852269"	"3.32972"	"-1.1096506"	""	""
"8021286"	"0.011111"	"2.44e-05"	"-9.802842"	"3.29953"	"-1.2686037"	"C18orf54"	"chromosome 18 open reading frame 54"
"8010832"	"0.011211"	"2.50e-05"	"-9.768705"	"3.27857"	"-0.7958434"	"FN3KRP"	"fructosamine 3 kinase related protein"
"8110971"	"0.011337"	"2.56e-05"	"-9.731157"	"3.25542"	"-0.7351214"	"CMBL"	"carboxymethylenebutenolidase homolog"
"7952830"	"0.011337"	"2.64e-05"	"-9.687664"	"3.22846"	"-0.6921043"	"NCAPD3"	"non-SMC condensin II complex subunit D3"
"8090772"	"0.011337"	"2.66e-05"	"-9.675306"	"3.22077"	"-0.6983573"	"TOPBP1"	"topoisomerase (D0) II binding protein 1"
"7973948"	"0.011337"	"2.67e-05"	"-9.669992"	"3.21746"	"-0.8821142"	"BRMS1L"	"breast cancer metastasis-suppressor 1-like"
"8092541"	"0.011337"	"2.70e-05"	"-9.652936"	"3.20683"	"-0.705215"	"LIPH"	"lipase H"
"8060813"	"0.011411"	"2.78e-05"	"-9.608555"	"3.17904"	"-0.9128333"	"MCM8"	"minichromosome maintenance 8 homologous recombination repair factor"
"7967736"	"0.011411"	"2.80e-05"	"-9.60178"	"3.17479"	"-0.7392208"	"POLE"	"D0 polymerase epsilon, catalytic subunit"
"7942527"	"0.011411"	"2.84e-05"	"-9.576792"	"3.15907"	"-0.6766023"	"POLD3"	"D0 polymerase delta 3, accessory subunit"
"8077731"	"0.011411"	"2.86e-05"	"-9.569239"	"3.1543"	"-0.8967413"	"FANCD2"	"Fanconi anemia complementation group D2"
"8095021"	"0.011486"	"2.94e-05"	"-9.529113"	"3.12893"	"-0.9512758"	"SPATA18"	"spermatogenesis associated 18"
"7982712"	"0.011486"	"2.98e-05"	"-9.508518"	"3.11585"	"-0.6976557"	"KNSTRN"	"kinetochore localized astrin/SPAG5 binding protein"
"8061471"	"0.011486"	"3.03e-05"	"-9.485768"	"3.10137"	"-0.9446397"	"GINS1"	"GINS complex subunit 1"
"7953218"	"0.011486"	"3.03e-05"	"-9.484069"	"3.10028"	"-0.740683"	"RAD51AP1"	"RAD51 associated protein 1"
"8068361"	"0.011486"	"3.06e-05"	"-9.472746"	"3.09306"	"-1.6141902"	"SLC5A3"	"solute carrier family 5 member 3"
"8170648"	"0.011514"	"3.10e-05"	"-9.452487"	"3.0801"	"-0.7986135"	"BGN"	"biglycan"
"8179228"	"0.011607"	"3.16e-05"	"-9.424431"	"3.06211"	"-0.8231414"	"TCF19"	"transcription factor 19"
"8066074"	"0.011778"	"3.24e-05"	"-9.387069"	"3.03805"	"-0.9642621"	"DSN1"	"DSN1 homolog, MIS12 kinetochore complex component"
"7966878"	"0.012092"	"3.39e-05"	"-9.325495"	"2.99814"	"-0.6954877"	"CIT"	"citron rho-interacting serine/threonine kinase"
"8165217"	"0.012092"	"3.49e-05"	"-9.280767"	"2.96896"	"-1.0412588"	"NOTCH1"	"notch 1"
"8174322"	"0.012092"	"3.50e-05"	"-9.276453"	"2.96614"	"-0.8760907"	"MORC4"	"MORC family CW-type zinc finger 4"
"8052979"	"0.012092"	"3.53e-05"	"-9.266265"	"2.95946"	"-0.6587375"	"SFXN5"	"sideroflexin 5"
"8154563"	"0.012092"	"3.54e-05"	"-9.260262"	"2.95552"	"-1.1073548"	"ACER2"	"alkaline ceramidase 2"
"7929677"	"0.012092"	"3.55e-05"	"-9.256573"	"2.9531"	"-0.6285682"	"PI4K2A"	"phosphatidylinositol 4-kinase type 2 alpha"
"7926821"	"0.012122"	"3.60e-05"	"-9.2382"	"2.94103"	"-1.000822"	"MASTL"	"microtubule associated serine/threonine kinase like"
"7996081"	"0.012563"	"3.84e-05"	"-9.146291"	"2.88021"	"-0.8644241"	"ADGRG1"	"adhesion G protein-coupled receptor G1"
"8017262"	"0.012563"	"3.85e-05"	"-9.142891"	"2.87795"	"-1.0868573"	"BRIP1"	"BRCA1 interacting protein C-terminal helicase 1"
"8108359"	"0.012563"	"3.88e-05"	"-9.1325"	"2.87102"	"-1.0943557"	"REEP2"	"receptor accessory protein 2"
"8120838"	"0.012563"	"3.89e-05"	"-9.129564"	"2.86906"	"-0.7385663"	"TTK"	"TTK protein kinase"
"7949227"	"0.012563"	"3.94e-05"	"-9.109837"	"2.85589"	"-0.8542483"	"CDC42BPG"	"CDC42 binding protein kinase gamma"
"7948630"	"0.012563"	"3.98e-05"	"-9.098321"	"2.84818"	"-0.6152097"	"FADS3"	"fatty acid desaturase 3"
"7959408"	"0.012563"	"4.01e-05"	"-9.087434"	"2.84088"	"-0.6789605"	"KNTC1"	"kinetochore associated 1"
"7925662"	"0.012563"	"4.09e-05"	"-9.058403"	"2.82138"	"-0.7640241"	"ZNF670-ZNF695///ZNF695"	"ZNF670-ZNF695 readthrough (NMD candidate)///zinc finger protein 695"
"7927710"	"0.012563"	"4.09e-05"	"-9.057894"	"2.82103"	"-0.6464301"	"CDK1"	"cyclin dependent kinase 1"
"7909568"	"0.012563"	"4.15e-05"	"-9.04048"	"2.8093"	"-1.0556016"	"DTL"	"denticleless E3 ubiquitin protein ligase homolog"
"8102389"	"0.012563"	"4.16e-05"	"-9.035953"	"2.80624"	"-0.7492532"	"ZGRF1"	"zinc finger GRF-type containing 1"
"7953211"	"0.013273"	"4.44e-05"	"-8.947102"	"2.74591"	"-0.9099884"	"TIGAR"	"TP53 induced glycolysis regulatory phosphatase"
"7893310"	"0.013364"	"4.51e-05"	"8.925076"	"2.73085"	"0.6950248"	""	""
"7975598"	"0.013807"	"4.72e-05"	"8.861031"	"2.68681"	"0.6644285"	"ACOT1"	"acyl-CoA thioesterase 1"
"8179564"	"0.013807"	"4.77e-05"	"-8.848127"	"2.67789"	"-0.7674018"	"KIFC1"	"kinesin family member C1"
"8072962"	"0.013807"	"4.78e-05"	"-8.843217"	"2.6745"	"-0.7737023"	"MICALL1"	"MICAL like 1"
"8047161"	"0.014155"	"4.96e-05"	"-8.79532"	"2.64124"	"-0.6759606"	"0BP1"	"nucleic acid binding protein 1"
"7929032"	"0.014155"	"4.99e-05"	"-8.785367"	"2.63431"	"-0.8396784"	"FAS"	"Fas cell surface death receptor"
"8027292"	"0.014434"	"5.14e-05"	"-8.747171"	"2.60761"	"-0.6488068"	"ZNF431"	"zinc finger protein 431"
"7990879"	"0.014506"	"5.21e-05"	"-8.728741"	"2.59468"	"-0.6886575"	"EFL1"	"elongation factor like GTPase 1"
"7970624"	"0.015093"	"5.49e-05"	"-8.656482"	"2.54369"	"-0.6595411"	"CENPJ"	"centromere protein J"
"7986068"	"0.015093"	"5.51e-05"	"-8.652133"	"2.5406"	"-1.1780263"	"BLM"	"Bloom syndrome RecQ like helicase"
"7985873"	"0.015093"	"5.56e-05"	"-8.641195"	"2.53284"	"-0.8075726"	"TICRR"	"TOPBP1 interacting checkpoint and replication regulator"
"8059350"	"0.015185"	"5.64e-05"	"-8.621923"	"2.51913"	"-0.9636755"	"AP1S3"	"adaptor related protein complex 1 sigma 3 subunit"
"8097356"	"0.015211"	"5.75e-05"	"-8.595118"	"2.50001"	"-0.7849193"	"PLK4"	"polo like kinase 4"
"8103951"	"0.015211"	"5.77e-05"	"-8.591195"	"2.4972"	"-0.7186817"	"ACSL1"	"acyl-CoA synthetase long-chain family member 1"
"8068353"	"0.015211"	"5.79e-05"	"-8.586772"	"2.49404"	"-0.8612675"	"MRPS6///SLC5A3"	"mitochondrial ribosomal protein S6///solute carrier family 5 member 3"
"8127031"	"0.015435"	"5.96e-05"	"-8.548876"	"2.46686"	"-0.7409614"	"MCM3"	"minichromosome maintenance complex component 3"
"7964927"	"0.015435"	"5.97e-05"	"8.545962"	"2.46476"	"1.2244014"	"TSPAN8"	"tetraspanin 8"
"8001133"	"0.015593"	"6.08e-05"	"-8.521922"	"2.44745"	"-0.967275"	"SHCBP1"	"SHC binding and spindle associated 1"
"8055872"	"0.015802"	"6.21e-05"	"8.493989"	"2.42726"	"0.7094607"	"CACNB4"	"calcium voltage-gated channel auxiliary subunit beta 4"
"7910377"	"0.015926"	"6.33e-05"	"8.467832"	"2.40828"	"0.9327945"	""	""
"7985829"	"0.015926"	"6.36e-05"	"-8.463085"	"2.40483"	"-0.8865616"	"FANCI"	"Fanconi anemia complementation group I"
"7988260"	"0.015928"	"6.41e-05"	"-8.452791"	"2.39734"	"-0.5914984"	"FRMD5"	"FERM domain containing 5"
"7926259"	"0.016246"	"6.58e-05"	"-8.416915"	"2.37116"	"-0.9557049"	"MCM10"	"minichromosome maintenance 10 replication initiation factor"
"8112902"	"0.016253"	"6.75e-05"	"-8.38449"	"2.34739"	"-0.7926718"	"DHFR"	"dihydrofolate reductase"
"8073858"	"0.016253"	"6.84e-05"	"-8.366595"	"2.33423"	"-0.7060761"	"GTSE1"	"G2 and S-phase expressed 1"
"8033912"	"0.016253"	"6.85e-05"	"-8.365525"	"2.33344"	"-0.5984587"	"DNMT1"	"D0 (cytosine-5-)-methyltransferase 1"
"7930213"	"0.016253"	"6.86e-05"	"-8.364187"	"2.33246"	"-0.8232599"	"TAF5"	"TATA-box binding protein associated factor 5"
"8097857"	"0.016253"	"6.88e-05"	"-8.360596"	"2.32981"	"-0.789176"	"MND1"	"meiotic nuclear divisions 1"
"8120967"	"0.016253"	"6.90e-05"	"8.356275"	"2.32663"	"0.6228738"	"NT5E"	"5'-nucleotidase ecto"
"7998136"	"0.016253"	"6.94e-05"	"-8.348515"	"2.3209"	"-0.6263952"	"RHBDF1"	"rhomboid 5 homolog 1"
"7914851"	"0.016429"	"7.07e-05"	"-8.325163"	"2.30364"	"-0.9637776"	"CLSPN"	"claspin"
"8034122"	"0.016597"	"7.19e-05"	"-8.302784"	"2.28705"	"-0.7734682"	"SPC24"	"SPC24, NDC80 kinetochore complex component"
"8145418"	"0.016617"	"7.31e-05"	"-8.280346"	"2.27036"	"-0.6555089"	"CDCA2"	"cell division cycle associated 2"
"7993588"	"0.016617"	"7.34e-05"	"-8.275821"	"2.26699"	"-0.6733893"	"TMC7"	"transmembrane channel like 7"
"8009353"	"0.016617"	"7.35e-05"	"-8.273875"	"2.26554"	"-0.7728365"	"PITPNC1"	"phosphatidylinositol transfer protein, cytoplasmic 1"
"8064844"	"0.016677"	"7.50e-05"	"-8.247939"	"2.24618"	"-0.8838019"	"PC0"	"proliferating cell nuclear antigen"
"8008237"	"0.016677"	"7.52e-05"	"-8.245329"	"2.24422"	"-0.7567486"	"ITGA3"	"integrin subunit alpha 3"
"8109528"	"0.016677"	"7.53e-05"	"-8.242489"	"2.2421"	"-0.6108534"	"CYFIP2"	"cytoplasmic FMR1 interacting protein 2"
"7983145"	"0.016756"	"7.63e-05"	"-8.226093"	"2.22982"	"-0.6198013"	"STARD9"	"StAR related lipid transfer domain containing 9"
"8106931"	"0.016756"	"7.70e-05"	"-8.214315"	"2.22097"	"-0.7184283"	"SLF1"	"SMC5-SMC6 complex localization factor 1"
"8086880"	"0.016756"	"7.72e-05"	"-8.210382"	"2.21802"	"-0.7828483"	"CDC25A"	"cell division cycle 25A"
"8143054"	"0.016928"	"7.88e-05"	"-8.185649"	"2.1994"	"-0.6465089"	"AKR1B1"	"aldo-keto reductase family 1 member B"
"8008310"	"0.016928"	"7.91e-05"	"-8.180263"	"2.19534"	"-1.1582552"	"EME1"	"essential meiotic structure-specific endonuclease 1"
"7975361"	"0.017094"	"8.04e-05"	"-8.159429"	"2.17959"	"-0.6539579"	"SUSD6"	"sushi domain containing 6"
"7997381"	"0.017151"	"8.16e-05"	"-8.14022"	"2.16504"	"-0.9033449"	"CENPN"	"centromere protein N"
"7969243"	"0.017151"	"8.17e-05"	"-8.138395"	"2.16366"	"-0.5645279"	"CKAP2"	"cytoskeleton associated protein 2"
"8007071"	"0.017151"	"8.24e-05"	"-8.127866"	"2.15566"	"-1.3288977"	"CDC6"	"cell division cycle 6"
"7899134"	"0.017151"	"8.30e-05"	"-8.118943"	"2.14888"	"-0.7183143"	"CEP85"	"centrosomal protein 85"
"8023926"	"0.017151"	"8.33e-05"	"-8.114041"	"2.14515"	"-0.7542025"	"PARD6G"	"par-6 family cell polarity regulator gamma"
"7900888"	"0.017381"	"8.50e-05"	"-8.089161"	"2.12618"	"-0.5684633"	"IPO13"	"importin 13"
"7929334"	"0.01811"	"8.95e-05"	"-8.023865"	"2.0761"	"-0.7672303"	"CEP55"	"centrosomal protein 55"
"7914878"	"0.01811"	"8.97e-05"	"-8.021479"	"2.07426"	"-1.0351181"	"CLSPN///CLSPN"	"claspin///claspin"
"8119974"	"0.018288"	"9.11e-05"	"-8.001449"	"2.0588"	"-0.6566054"	"SLC29A1"	"solute carrier family 29 member 1 (Augustine blood group)"
"8035408"	"0.018318"	"9.21e-05"	"-7.987922"	"2.04834"	"-0.6320492"	"PDE4C"	"phosphodiesterase 4C"
"7963750"	"0.018318"	"9.27e-05"	"-7.979906"	"2.04214"	"-0.6622476"	"CBX5"	"chromobox 5"
"7945550"	"0.018318"	"9.29e-05"	"-7.976275"	"2.03932"	"-0.7899577"	"PIDD1"	"p53-induced death domain protein 1"
"7988537"	"0.018688"	"9.56e-05"	"-7.941181"	"2.01205"	"-0.6122708"	"CEP152"	"centrosomal protein 152"
"7968890"	"0.018688"	"9.60e-05"	"-7.936209"	"2.00818"	"-0.6223876"	"DGKZ"	"diacylglycerol kinase zeta"
"8180061"	"0.018862"	"9.77e-05"	"-7.91381"	"1.9907"	"-1.1603538"	"TAP1"	"transporter 1, ATP binding cassette subfamily B member"
"8060675"	"0.018862"	"9.90e-05"	"-7.897753"	"1.97813"	"-0.6006559"	"CDC25B"	"cell division cycle 25B"
"7973797"	"0.018862"	"9.91e-05"	"-7.896983"	"1.97753"	"-0.7819824"	"COCH"	"cochlin"
"8172876"	"0.018862"	"9.92e-05"	"-7.89513"	"1.97608"	"-0.5874087"	"SMC1A"	"structural maintenance of chromosomes 1A"
"8163672"	"0.018911"	"1.00e-04"	"-7.884635"	"1.96785"	"-0.922184"	"PAPPA-AS1"	"PAPPA antisense R0 1"
"8168470"	"0.01917"	"1.02e-04"	"7.860584"	"1.94895"	"0.5926899"	"COX7B"	"cytochrome c oxidase subunit 7B"
"7906564"	"0.019282"	"1.04e-04"	"-7.841758"	"1.93411"	"-0.6230812"	"PEA15"	"phosphoprotein enriched in astrocytes 15"
"8040578"	"0.019282"	"1.04e-04"	"-7.839175"	"1.93207"	"-0.6631192"	"CENPO"	"centromere protein O"
"7974166"	"0.019327"	"1.05e-04"	"-7.829245"	"1.92423"	"-0.6672931"	"FANCM"	"Fanconi anemia complementation group M"
"8121911"	"0.019475"	"1.07e-04"	"-7.806326"	"1.90608"	"-1.0112706"	"CENPW"	"centromere protein W"
"7896021"	"0.019475"	"1.07e-04"	"7.805862"	"1.90571"	"0.8655955"	""	""
"7990657"	"0.01964"	"1.08e-04"	"-7.788612"	"1.89202"	"-0.6100547"	"TBC1D2B"	"TBC1 domain family member 2B"
"8103932"	"0.019666"	"1.09e-04"	"-7.774921"	"1.88113"	"-0.7962403"	"CENPU"	"centromere protein U"
"8021453"	"0.019666"	"1.10e-04"	"7.773331"	"1.87986"	"0.6161752"	"SEC11C"	"SEC11 homolog C, signal peptidase complex subunit"
"7973433"	"0.019948"	"1.13e-04"	"-7.740334"	"1.85352"	"-0.6615485"	"DHRS2"	"dehydrogenase/reductase 2"
"7976621"	"0.019948"	"1.13e-04"	"-7.737014"	"1.85087"	"-0.6164439"	"VRK1"	"vaccinia related kinase 1"
"8171381"	"0.019948"	"1.13e-04"	"-7.734251"	"1.84866"	"-0.793264"	"FANCB"	"Fanconi anemia complementation group B"
"8036622"	"0.019948"	"1.14e-04"	"-7.729056"	"1.8445"	"-0.7002792"	"RINL"	"Ras and Rab interactor like"
"8151101"	"0.019978"	"1.15e-04"	"-7.710327"	"1.82947"	"-0.835898"	"MYBL1"	"MYB proto-oncogene like 1"
"8021963"	"0.019978"	"1.16e-04"	"-7.7077"	"1.82736"	"-0.5666522"	"TYMSOS"	"TYMS opposite strand"
"8064808"	"0.019978"	"1.16e-04"	"-7.707606"	"1.82729"	"-0.6289323"	"SLC23A2"	"solute carrier family 23 member 2"
"7918923"	"0.020257"	"1.18e-04"	"7.68426"	"1.8085"	"0.7014503"	""	""
"8087513"	"0.020323"	"1.19e-04"	"-7.673895"	"1.80014"	"-0.815386"	"TRAIP"	"TRAF interacting protein"
"8171561"	"0.020338"	"1.20e-04"	"-7.666641"	"1.79428"	"-0.6668035"	"SCML2"	"sex comb on midleg-like 2 (Drosophila)"
"7918275"	"0.020448"	"1.21e-04"	"-7.653741"	"1.78385"	"-0.6786463"	"WDR47"	"WD repeat domain 47"
"7968563"	"0.020482"	"1.22e-04"	"-7.640065"	"1.77278"	"-0.7614249"	"RFC3"	"replication factor C subunit 3"
"7933707"	"0.020482"	"1.22e-04"	"-7.639164"	"1.77205"	"-0.6797785"	"ZWINT"	"ZW10 interacting kinetochore protein"
"8156026"	"0.020495"	"1.23e-04"	"-7.632189"	"1.76639"	"-0.7200159"	"CEP78"	"centrosomal protein 78"
"8003204"	"0.020731"	"1.25e-04"	"-7.612163"	"1.75011"	"-0.6921873"	"GINS2"	"GINS complex subunit 2"
"8143772"	"0.020796"	"1.26e-04"	"-7.602281"	"1.74207"	"-0.5414611"	"RARRES2"	"retinoic acid receptor responder 2"
"7908917"	"0.020874"	"1.27e-04"	"-7.591668"	"1.73341"	"-1.3927628"	"BTG2"	"BTG anti-proliferation factor 2"
"8163775"	"0.021112"	"1.29e-04"	"-7.571296"	"1.71677"	"-0.5722525"	"MEGF9"	"multiple EGF like domains 9"
"8156126"	"0.021112"	"1.31e-04"	"-7.558686"	"1.70644"	"-0.5665739"	"RMI1"	"RecQ mediated genome instability 1"
"8023766"	"0.021112"	"1.31e-04"	"-7.555289"	"1.70366"	"-0.5671502"	"RTTN"	"rotatin"
